,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
    Consumption,3.182,3.318,3.618,3.893,3.988,4.213,4.431,4.656,4.926,5.026,5.103,4.77,4.58,4.107,4.174,4.3196,4.6246,4.7764,4.9023,4.9575,4.6091,4.8924,5.1220329,5.19681639
    Imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,12.911,14.012,17.801,24.577,25.009,23.255,24.499,24.635,25.018,25.665,26.346,26.602,28.603,29.001,28.633,25.335,22.727,26.7856,28.2525,28.5794,28.3697,29.045,31.021,30.411
        Fossil fuels,57.031,56.903,54.252,55.058,54.716,54.063,54.08,58.172,53.001,49.76,51.3,51.094,48.159,45.815,45.442,46.195,46.5335,45.5983,47.4187,45.343,39.6066,44.8916,39.126,34.1844981
            Coal,52.752,52.594,49.907,50.779,50.308,49.522,49.649,53.794,48.778,45.946,46.9,46.685,43.978,41.113,40.727,41.141,40.0645,39.318,41.191,37.321,30.988,36.874,34.169,29.891
            Natural gas,1.691,1.58,1.605,1.584,1.543,1.47,1.567,1.37,1.018,0.975,1.362,1.397,1.479,2.025,1.806,2.264,3.71,3.6794,3.7505,5.7906,6.8484,7.291,4.312,3.642
            Oil,0.372,0.386,0.384,0.368,0.348,0.326,0.258,0.115,0.131,0.156,0.199,0.174,0.113,0.079,0.105,0.094,0.092,0.1194,0.1078,0.118,0.0895,0.092,0.082,0.0884981
        Renewables,2.2724,2.561,2.98,1.872,2.728,3.115,3.502,3.398,3.722,4.64,5.911,7.287,8.085,9.319,9.214,9.454,9.4175,9.6674,9.4684,10.1114,10.4691,10.7929,10.835,11.5385785
            Hydroelectricity,1.7404,2.033,2.467,1.369,1.999,2.356,2.525,2.068,2.004,2.405,2.775,1.95,2.107,2.704,1.909,1.779,1.983,1.852,1.615,1.9879,2.1439,2.4085,2.06,2.317578495
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0.001,0.002,0.013,0.089,0.612,2.169,2.128,2.014,2.104,2.244,2.1105,2.1746,2.3438,2.3162,2.3175,2.2974,2.626,3.21
                Wind,0.001,0,0.002,0.005,0.01,0.021,0.049,0.125,0.245,0.288,0.335,0.395,0.414,0.476,0.469,0.563,0.488,0.5819,0.6007,0.691,0.699,0.602,0.641,0.702
    Consumption,57.0474,58.884,58.662,60.066,61.465,62.552,64.326,64.979,65.485,61.74,63.939,63.291,63.289,62.838,62.831,64.018,63.256,64.2797,66.6521,66.2962,63.7838,69.641122,63.7528576,63.6283513
    Imports,8.725,9.38,9.502,10.086,9.776,12.351,11.466,10.204,8.52,8.586,6.642,10.457,11.587,10.571,11.842,16.146,13.817,15.072,11.5734,11.0262,13.3681,15.153,16.7260754,13.46452
    Exports,18.742,18.919,20.889,26.299,25.493,24.985,24.097,26.357,19.989,22.23,21.59,27.501,28.707,27.458,28.142,28.661,24.791,28.1089,25.4805,24.1228,23.5209,26.2282,30.2549116,22.6480935
Denmark,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,29.886,31.276,31.862,37.42,30.252,25.618,35.586,28.216,25.665,25.528,24.5952,19.3463,14.3555,17.0671,12.6572,8.7409,10.684,7.9466,8.4591,5.4323,4.2755,5.7116,5.4768778,3.8293157
            Coal,16.673,17.819,18.257,25.307,18.673,15.463,24.566,19.891,17.462,17.687,15.9152,13.0523,9.7605,13.2991,10.2452,6.5989,8.105,5.6505,6.1235,3.0883,2.8285,4.0488,4.1012498,2.525
            Natural gas,8.774,9.273,9.59,9.764,9.941,8.78,9.401,7.037,7.082,6.671,7.906,5.841,4.192,3.417,2.096,1.824,2.255,2.0173,2.0719,2.1022,1.1841,1.4246,1.0684503,1
            Oil,4.439,4.184,4.015,2.349,1.638,1.375,1.619,1.288,1.121,1.17,0.774,0.453,0.403,0.351,0.316,0.318,0.324,0.2788,0.2637,0.2418,0.2629,0.2382,0.3071777,0.3043157
        Renewables,6.128,6.437,7.412,8.747,10.167,10.628,10.025,11.1,10.951,10.856,13.176,14.9589,15.5669,16.6815,18.7085,19.6894,19.0938,22.5209,21.4638,23.8678,24.2243,26.8927,29.2592008,30.1156861
            Hydroelectricity,0.03,0.028,0.032,0.021,0.027,0.023,0.023,0.028,0.026,0.019,0.021,0.017,0.017,0.013,0.015,0.018,0.0193,0.0179,0.0149,0.017,0.0171,0.0163,0.014834,0.0196861
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.006,0.0149,0.1039,0.5175,0.5955,0.6043,0.7438,0.7515,0.953,0.9633,1.1805,1.3089,2.1141361,3.363
                Wind,4.241,4.306,4.877,5.561,6.583,6.614,6.108,7.171,6.928,6.721,7.809,9.774,10.27,11.123,13.079,14.1331,12.7817,14.78,13.902,16.1498,16.3302,16.0545,19.0222307,19.54
    Consumption,34.575,34.763,35.112,35.573,35.737,36.088,37.108,36.419,35.896,34.353,34.0122,33.4242,32.9864,32.9166,32.2467,32.5764,32.9622,33.3716,33.0584,33.2464,33.1063,35.631276,34.2996719,35.2532655
    Imports,8.417,8.199,8.939,7.023,8.673,12.943,6.767,10.427,12.815,11.208,10.599,11.694,15.92,11.459,12.702,15.6447,14.9765,15.2181,15.6336,15.9819,18.594,20.1198,18.7972584,19.8307744
    Exports,7.752,8.774,11.01,15.568,11.545,11.574,13.702,11.377,11.36,10.874,11.734,10.374,10.706,10.377,9.847,9.7332,9.9194,10.6554,10.4093,10.171,11.7114,15.251,17.3918181,16.6975107
Estonia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,8.495,8.465,8.497,10.11,10.244,10.094,9.602,12.045,10.384,8.238,11.92,11.714,10.49,11.995,10.984,8.518,10.517,11.2183,10.2785,5.409,3.0332,4.3684,6.034,3.3919937
            Coal,0.019,0.02,0.02,0.019,0.017,0.014,0.015,0.022,0.015,0.062,0.122,0.086,0.098,0.084,0.059,0.05,0.05,0.1263,0.047,0.0236,0.012,0.0005,0,0
            Natural gas,0.596,0.599,0.529,0.504,0.487,0.544,0.539,0.344,0.423,0.108,0.303,0.25,0.126,0.089,0.069,0.062,0.074,0.063,0.058,0.0381,0.0264,0.0424,0.056,0.022
            Oil,7.719,7.667,7.676,9.332,9.542,9.32,8.804,11.433,9.667,7.67,11.086,10.945,9.76,11.538,10.345,7.944,9.878,10.0323,9.463,4.3233,2.2468,3.6155,5.167,2.656
        Renewables,0.019,0.019,0.03,0.049,0.06,0.111,0.13,0.145,0.197,0.5411,1.0441,1.1792,1.4773,1.281,1.465,1.636,1.6527,1.9422,2.0856,2.2066,3.0452,2.9904,2.8090647,3.1027393
            Hydroelectricity,0.005,0.007,0.006,0.013,0.022,0.022,0.014,0.021,0.028,0.032,0.027,0.03,0.042,0.026,0.027,0.027,0.035,0.026,0.015,0.019,0.03,0.023,0.023,0.0227393
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0002,0.0003,0.001,0.003,0.006,0.0097,0.0145,0.0308,0.0735,0.2451,0.3537,0.5959999,0.629
                Wind,0.001,0.001,0.001,0.006,0.008,0.054,0.076,0.091,0.133,0.195,0.277,0.368,0.434,0.529,0.604,0.715,0.594,0.723,0.636,0.687,0.844,0.733,0.6740648,0.683
    Consumption,6.386,6.329,6.577,7.071,7.398,7.494,7.905,8.416,8.51,7.9751,8.6631,8.3822,8.8483,8.785,8.853,8.532,9.4097,9.6475,9.7231,9.2726,9.3474,8.9976948,8.6249829,8.6359574
    Imports,0.3,0.1,0.412,0.093,0.347,0.345,0.251,0.345,1.369,3.025,1.1,1.69,2.71,2.712,3.73,5.452,3.577,2.281,3.053,4.861,7.367,7.3324,7.1824495,7.66
    Exports,1.187,0.891,1.102,1.989,2.141,1.953,1.001,2.765,2.31,2.943,4.354,5.252,4.95,6.3,6.484,6.377,5.614,5.015,4.95,2.704,3.723,4.7034,6.1725314,4.355
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,0.136,0.155,0.143,0.16,0.147,0.136,0.144,0.1492,0.167,0.1681,0.1993,0.1668,0.181,0.1801,0.1502,0.1255,0.1589,0.1634,0.1801,0.23,0.2494,0.2624,0.2624,0.2624
            Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oil,0.136,0.155,0.143,0.16,0.147,0.136,0.144,0.1492,0.167,0.1681,0.1993,0.1668,0.181,0.1801,0.1502,0.1255,0.1589,0.1634,0.1801,0.23,0.2494,0.2624,0.2624,0.2624
        Renewables,0.0758,0.0757,0.0961,0.0878,0.1009,0.1083,0.1149,0.1192,0.1079,0.1065,0.0808,0.107,0.11,0.111,0.156,0.188,0.157,0.17,0.1708,0.155,0.158,0.171,0.226,0.226
            Hydroelectricity,0.0753,0.0752,0.0955,0.0848,0.0934,0.098,0.0999,0.1034,0.0949,0.0915,0.0668,0.092,0.099,0.091,0.121,0.132,0.105,0.11,0.107,0.102,0.11,0.11,0.131,0.131
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                Wind,0.0005,0.0005,0.0006,0.003,0.0075,0.0103,0.015,0.0158,0.013,0.015,0.014,0.015,0.011,0.02,0.035,0.056,0.052,0.06,0.0638,0.053,0.047,0.054,0.09,0.09
    Consumption,0.1988,0.2167,0.2231,0.2298,0.2319,0.2333,0.2459,0.2613,0.2635,0.2746,0.2618,0.2617,0.2679,0.2808,0.2916,0.2937,0.2973,0.3153,0.3304,0.3618,0.3824,0.4082,0.463336786,0.463285469
    Imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Finland,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,21.355,21.634,21.18,21.594,21.58,22.356,21.999,22.505,22.05,22.601,21.889,22.266,22.063,22.673,22.646,22.326,22.28,21.574,21.881,22.915,22.354,22.6298,24.221,32.7667364
        Fossil fuels,23.855,29.869,32.467,42.102,37.039,23.419,36.555,33.08,26.095,26.326,32.6126,25.2931,18.2073,21.1428,17.459,14.3219,14.4972,12.7874,14.7511,12.2855,9.7053,9.966,6.9942326,4.362663
            Coal,12.452,16.87,19.31,26.592,23.039,10.998,22.996,21.37,13.723,15.533,20.2816,14.9081,10.6773,13.6108,11.211,8.3399,9.9322,8.7174,9.4881,7.5275,4.8993,5.2764,5.151695,3.055015908
            Natural gas,10.131,11.69,11.625,13.848,12.747,11.231,12.323,10.557,11.029,9.793,11.259,9.444,6.726,6.788,5.521,5.195,3.738,3.3,4.194,3.851,3.991,3.826,0.957,0.672
            Oil,0.587,0.664,0.893,0.969,0.615,0.5,0.481,0.469,0.653,0.535,0.484,0.416,0.312,0.234,0.236,0.212,0.2,0.184,0.265,0.306,0.201,0.1616,0.2335376,0.2490034
        Renewables,23.305,21.532,19.848,19.15,25.682,23.506,22.486,24.348,27.78,21.795,24.2297,24.2383,28.6037,25.8035,26.4918,30.7255,30.6762,31.7859,32.4962,32.2176,36.164,38.6536,39.1931295,41.2504269
            Hydroelectricity,14.513,13.073,10.668,9.495,14.919,13.646,11.379,14.035,16.941,12.559,12.743,12.278,16.667,12.672,13.24,16.584,15.6341,14.6095,13.137,12.2455,15.6693,15.6231,13.4627875,15.2
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.0047,0.0053,0.0057,0.0065,0.0078,0.0095,0.0221,0.0485,0.09,0.1473,0.2185,0.2975,0.392342,0.647
                Wind,0.078,0.07,0.064,0.093,0.12,0.17,0.156,0.188,0.261,0.277,0.294,0.481,0.494,0.774,1.107,2.327,3.068,4.7952,5.8387,6.0247,8.256,8.507,12.022,14.691
    Consumption,77.647,79.967,82.479,84.251,86.212,83.255,89.387,89.447,85.363,80.033,86.4713,82.9564,83.409,82.7323,81.7978,81.2754,83.8184,83.8043,86.0403,84.3981,80.1783,85.8254,80.5513204,77.4188725
    Imports,12.206,11.769,13.464,11.882,11.667,17.948,14.118,15.419,16.107,15.46,15.719,17.656,19.089,17.591,21.622,21.459,22.11,22.204,22.548,23.938,21.774,24.492,19.8251603,9.6438578
    Exports,0.326,1.81,1.539,7.03,6.797,0.933,2.717,2.862,3.335,3.375,5.218,3.804,1.645,1.876,3.655,5.122,3.159,1.779,2.612,3.896,6.67,6.724,6.896202,7.883345
Former Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Fossil fuels,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Coal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Natural gas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Oil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Renewables,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Hydroelectricity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                Geothermal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                    Solar,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                Wind,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Consumption,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Imports,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Exports,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Fossil fuels,22.14,22.68,23.31,25.515,26.565,25.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Coal,21.433,21.859,22.559,24.71,25.736,24.375,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Natural gas,0.392,0.5,0.503,0.537,0.682,0.317,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Oil,0.315,0.321,0.248,0.268,0.147,0.683,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Renewables,11.88,12.326,11.633,9.752,11.01,11.912,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Hydroelectricity,11.88,12.326,11.633,9.752,11.01,11.912,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                Geothermal,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                    Solar,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                Wind,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Consumption,31.533,31.359,32.091,31.816,31.378,29.719,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Imports,4.4,3.6,4.713,4.576,5.975,6.751,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Exports,0.446,0.45,1.1,1.786,6.248,8.694,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Fossil fuels,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Coal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Natural gas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Oil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Renewables,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
            Hydroelectricity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                Geothermal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                    Solar,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
                Wind,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Consumption,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Imports,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    Exports,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,394.404,400.018,414.922,419.017,425.829,431.18,429.82,420.129,419.8,391.753,407.878,421.0775,404.88,403.6947,415.8618,416.7948,384.0081,379.094,393.1343,379.464,335.4142,360.7037,278.9612912,320.7699163
        Fossil fuels,49.539,45.005,51.127,55.73,54.812,61.699,55.297,56.347,53.661,49.234,57.0606,58.668,55.5431,52.0728,35.1408,44.1579,55.3959,64.2026,48.5082,53.0038,47.4463,47.7808,58.900909,39.74
            Coal,27.004,20.478,23.658,26.26,24.372,27.515,22.889,24.446,23.063,21.667,24.8256,19.251,22.8301,24.7888,12.9778,13.6779,11.5529,14.3381,9.9458,5.5403,4.6637,6.9237,5.4528345,2.023
            Natural gas,11.514,15.146,18.369,19.368,21.049,23.069,21.76,21.987,21.884,20.503,23.758,29.489,22.753,18.393,13.163,21.143,34.967,40.5004,30.6115,39.3136,35.3165,33.5521,45.741,31.249
            Oil,7.165,5.958,5.767,7.096,6.528,7.925,7.133,6.163,5.343,4.712,5.521,7.446,7.285,6.39,6.424,6.674,6.856,6.9791,5.7179,5.9145,5.6089,5.409,5.9970745,5.834
        Renewables,70.586,78.826,65.338,64.326,65.379,57.466,63.382,67.157,75.107,71.176,79.457,67.6445,86.7672,100.7755,95.5152,93.4267,100.6247,94.4271,115.3776,115.6728,127.6084,124.2346,115.268074,142.9141798
            Hydroelectricity,66.466,73.888,59.992,58.567,59.276,50.965,55.741,57.029,63.017,56.428,61.945,45.184,59.099,71.042,62.993,54.876,60.094,49.389,64.485,56.9139,62.5945,59.625,44.61,55.58977674
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0.0561,0.0509,0.0812,0.0749,0.0828,0.0879,0.1199,0.1144,0.1158,0.12,0.0904,0.0956604,0.1023384
                    Solar,0.005,0.006,0.007,0.007,0.009,0.01,0.013,0.018,0.042,0.174,0.62,2.3338,4.4279,5.1936,6.3915,7.7533,8.6598,9.5863,10.9249,12.3298,13.4585,15.7324,20.2070136,22.7338483
                Wind,0.048,0.131,0.265,0.388,0.595,0.962,2.182,4.07,5.694,7.912,9.945,12.3716,15.1784,16.1267,17.3238,21.4206,21.381,24.6094,28.5986,34.7874,39.7919,36.8314,38.004,52.41
    Consumption,412.715,423.153,421.278,438.783,450.246,455.851,451.182,453.136,465.324,449.511,476.4836,452.2063,462.9789,467.3558,442.6409,452.257,459.1717,457.0256,453.3921,450.6429,427.841,447.0891619,431.940778,415.5424951
    Imports,3.695,4.5,3.705,6.959,6.571,8.062,8.522,10.782,10.748,18.517,19.475,9.501,12.213,11.687,7.873,9.961,19.903,21.1192,13.5121,15.6318,19.5361,24.3345,53.2554913,25.1065032
    Exports,73.174,72.861,80.739,73.373,68.477,68.39,71.863,67.595,58.736,44.451,50.188,65.914,56.734,60.148,75.063,74.024,61.404,61.248,76.4788,73.2988,64.5753,69.2267,37.3292956,76.2070815
Germany,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,161.126,162.74,156.6,156.807,158.712,154.612,158.71,133.209,140.886,127.719,132.971,102.241,94.18,92.127,91.8,86.765,80.038,72.155,71.866,70.992,60.914,65.4413,31.892,6.7229241
        Fossil fuels,361.442,364.835,365.426,388.591,383.051,383.747,386.138,397.892,385.399,352.439,363.3439,357.0474,360.9171,364.0777,342.4846,343.0874,353.6123,340.0581,321.3662,274.929,244.3158,274.6684,278.7447597,263.0143562
            Coal,296.687,293.734,299.594,304.627,298.76,288.142,288.935,297.106,275.208,253.447,253.6909,252.7454,265.8031,277.3347,264.0556,262.3514,254.0213,235.2061,221.9372,169.043,133.9115,162.8818,176.7482382,127.773
            Natural gas,52.495,58.43,54.511,63.876,64.098,74.036,76.762,79.593,90.283,82.118,90.352,87.229,77.602,68.737,62.27,63.017,82.294,87.685,83.425,90.753,96.285,97.025,86.145,89.122
            Oil,4.785,4.758,4.322,10.333,10.775,11.997,10.955,10.007,9.678,10.066,8.741,7.162,7.627,7.198,5.659,6.209,5.846,5.571,5.186,4.776,4.3743,4.2636,4.5405215,3.9563562
        Renewables,41.048,45.519,51.455,49.573,60.1672,66.1062,75.9594,93.4334,98.883,101.065,110.495,129.115,148.164,157.539,168.511,193.947,195.152,221.457,226.176,243.811,254.099,237.413,257.9320933,269.4728017
            Hydroelectricity,21.515,22.506,22.893,19.071,20.866,19.442,19.808,20.957,20.239,18.841,20.678,17.323,21.331,22.66,19.31,18.664,20.214,19.985,17.694,19.731,18.322,19.252,17.383,19.95763773
                Geothermal,0,0,0,0,0.0002,0.0002,0.0004,0.0004,0.018,0.019,0.02,0.019,0.025,0.069,0.067,0.091,0.164,0.157,0.126,0.144,0.173,0.174,0.1520002,0.1302857
                    Solar,0.06,0.116,0.188,0.333,0.557,1.282,2.22,3.075,4.42,6.584,11.729,19.599,26.38,31.01,36.056,38.726,38.098,39.401,42.607,43.513,48.525,48.373,57.8953631,59.701563
                Wind,9.352,10.456,15.856,19.087,26.019,27.774,31.324,40.507,41.385,39.42,37.793,48.883,50.671,51.708,57.357,79.084,78.416,103.707,107.889,123.545,129.644,112.517,123.74873,139.1090741
    Consumption,530.768,542.085,554.443,562.064,568.5542,567.8362,573.1964,576.3744,573.028,541.991,565.6619,557.8874,556.1301,555.0417,542.6056,547.7784,550.6093,551.9401,541.7352,527.24,511.0428,529.5246999,512.1934399,519.6908475
    Imports,45.134,45.779,48.37,49.107,48.187,56.861,48.464,45.953,41.67,41.859,42.962,51.003,46.268,39.222,40.435,37.008,28.338,27.842,31.727,40.126,47.853,51.731,49.2693067,69.353172
    Exports,42.077,42.122,38.372,52.379,50.808,61.427,65.441,62.508,61.77,54.132,57.917,54.768,66.81,71.415,74.32,85.29,78.863,80.301,80.463,72.7939,66.882,70.306,76.2907197,60.3164305
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,0.125,0.126,0.129,0.134,0.136,0.145,0.151,0.155,0.166,0.174,0.177,0.171,0.176,0.189,0.198,0.224,0.214,0.2135,0.2154,0.2197,0.2145,0.233,0.211,0.22
            Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732,0.2145,0.233,0.211,0.22
            Oil,0.125,0.126,0.129,0.134,0.136,0.145,0.151,0.155,0.166,0.174,0.177,0.171,0.176,0.189,0.198,0.224,0.214,0.2135,0.2154,0.1465,0,0,0,0
        Renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Hydroelectricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Consumption,0.121,0.122,0.125,0.13,0.132,0.141,0.146,0.15,0.161,0.169,0.172,0.166,0.171,0.183,0.192,0.217,0.208,0.208,0.2089,0.213,0.2075,0.226,0.205,0.213744076
    Imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Greece,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,49.118,50.041,50.26,51.872,52.756,52.921,52.475,58.092,57.143,52.89,46.716,47.5754,46.6316,39.8644,35.5441,34.6305,37.3177,39.2834,35.3106,30.5582,29.497,31.9789,29.3713428,23.1844328
            Coal,34.313,35.431,34.566,35.17,35.38,35.543,32.264,34.676,33.356,34.188,30.797,27.7224,27.1906,23.5904,23.2241,19.8775,16.8847,16.6607,16.0503,11.0065,5.985,5.0519,5.2832225,4.4894328
            Natural gas,5.92,6.133,7.061,7.995,8.991,8.171,10.61,13.774,13.797,11.023,9.83,13.938,13.361,10.86,6.776,9.09,14.868,17.113,14.0801,14.4957,19.2282,22.488,19.142,16.16
            Oil,8.885,8.477,8.633,8.707,8.385,9.207,9.601,9.642,9.99,7.679,6.089,5.915,6.08,5.414,5.544,5.663,5.565,5.5097,5.1802,5.056,4.2838,4.439,4.9461203,2.535
        Renewables,4.27,3.014,3.657,5.985,6.01,6.456,7.645,4.593,5.736,8.15,10.622,8.2433,9.506,14.425,12.265,14.646,15.1007,13.8005,15.7262,16.3335,17.5946,22.0546,22.5138662,24.2777236
            Hydroelectricity,3.656,2.076,2.772,4.718,4.625,4.967,5.806,2.565,3.279,5.32,7.431,3.998,4.387,6.337,4.464,5.782,5.543,3.962,5.035,3.9798,3.3437,5.9092,4,4.719
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0.001,0.001,0.001,0.001,0.005,0.05,0.158,0.6103,1.694,3.648,3.792,3.9,3.9297,3.9915,3.7907,4.4285,4.4469,5.251,7.1531925,8.28
