,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
            Coal,50.259,51.976,53.496,53.528,43.967,46.225,61.8,68.088,68.377,62.965,67.325,74.141,79.973,80.127,70.489,56.062,61.213,49.269,47.723,44.608,38.644,35.5494,22.843,21.791
            Natural gas,29.947,30.357,30.494,34.24,37.524,34.157,24.45,22.448,19.313,11.688,15.703,18.451,16.039,13.983,12.714,10.102,9.831,7.381,10.571,11.927,14.195,14.342,9.701,10.914
            Oil,1.187,1.061,0.81,0.65,0.57,0.586,0.695,0.639,0.982,1.694,0.822,0.555,0.535,0.39,0.216,0.746,1.61,1.309,1.216,0.467,0.252,0.198,0.132,0.127
        Renewables,11.456,12.217,9.811,9.421,11.921,12.543,13.069,10.585,11.821,12.118,13.392,11.2,11.749,15.782,11.01,8.677,10.885,12.451,14.806,13.2149,17.5622,20.489,16.026,17.388
            Hydroelectricity,11.45,12.201,9.789,9.39,11.888,12.505,13.034,10.259,11.512,11.936,13.152,10.946,10.994,14.472,9.321,6.971,9.304,10.519,12.007,7.855,7.5638,10.3326,9.351,10.713
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0,0.001,0.03,0.333,0.57,0.429,0.477,0.491,0.739,1.099,2.933,5.969,6.565,4.201,4.598
                Wind,0.006,0.016,0.022,0.031,0.033,0.038,0.035,0.045,0.045,0.043,0.051,0.09,0.288,0.639,1.13,1.084,0.954,0.983,1.399,2.02,3.271,2.833,1.813,1.033
    Consumption,130.281,131.284,132.452,138.575,145.143,147.494,153.68,158.7639,158.125,143.683,157.894,162.043,160.562,158.26,150.171,139.917,140.833,130.279,132.7192,128.1897,129.9114,140.0114,98.006,89.4019975
    Imports,2.679,2.137,5.461,7.236,2.203,1.715,2.082,3.383,2.101,0.025,0.023,0.032,0.089,0.039,0.089,2.241,0.077,0.05,0.032,2.238,2.7198,1.458,4.101,3.279809633
    Exports,6.528,5.196,8.576,12.175,7.529,10.068,12.519,12.554,8.831,4.294,4.078,6.322,11.561,9.929,8.523,3.591,3.83,5.226,6.099,6.283,5.139,3.497,6.1,6.1
