partner,geo,TIME_PERIOD,OBS_VALUE
Slovenia,Croatia,2023,2694.3
Slovenia,Hungary,2022,19.0
Slovenia,Hungary,2023,235.0
Slovenia,Italy,2018,6738.695
Slovenia,Italy,2019,5193.618
Slovenia,Italy,2020,3909.18
Slovenia,Italy,2021,5449.6
Slovenia,Italy,2022,6213.575
Slovenia,Italy,2023,6513.269
Slovenia,Montenegro,2018,140.5
Slovakia,Czechia,2018,108.851
Slovakia,Czechia,2019,121.7
Slovakia,Czechia,2020,262.006
Slovakia,Czechia,2021,314.045
Slovakia,Czechia,2022,71.341
Slovakia,Czechia,2023,1221.519
Slovakia,European Union - 27 countries (from 2020),2018,6949.843
Slovakia,European Union - 27 countries (from 2020),2019,8886.498
Slovakia,European Union - 27 countries (from 2020),2020,9605.558
Slovakia,European Union - 27 countries (from 2020),2021,11114.718
Slovakia,European Union - 27 countries (from 2020),2022,13240.341
Slovakia,European Union - 27 countries (from 2020),2023,12453.221
Slovakia,Hungary,2018,6813.0
Slovakia,Hungary,2019,8738.0
Slovakia,Hungary,2020,9251.0
Slovakia,Hungary,2021,10723.0
Slovakia,Hungary,2022,13169.0
Slovakia,Hungary,2023,10972.0
Slovakia,Poland,2018,27.992
Slovakia,Poland,2019,26.798
Slovakia,Poland,2020,92.552
Slovakia,Poland,2021,77.673
Slovakia,Poland,2023,259.702
Slovakia,Ukraine,2019,737.2
Slovakia,Ukraine,2020,1524.7
